case,model,train_loss,constants,nmse_iso_transfer,mean_r_iso_transfer,r11_iso_transfer,r12_iso_transfer,pi_r_iso_transfer
isotropic1024coarse,Leonard,2.3925538568289726,{'c1': 0.09119080876978386},0.9919079272954815,0.1806723060248353,0.09637484125561167,0.14750432277479278,0.44106567726449186
isotropic1024coarse,WALE_like,2.5266372964556933,{'c1': -0.16628724319216168},1.0429206440552774,-0.35040073334141414,-0.29445594637974476,-0.4503709960945386,-0.983923857721536
isotropic1024coarse,Smagorinsky_like,2.5547793618435803,{'c1': 0.0011195143524191295},1.0198075900539585,-0.09719820740221075,-0.522518329364878,-0.28576501627356166,0.402419495464177
isotropic1024coarse,WALE_canonical,2.768627116251371,{'c1': -0.3397433431730206},1.0285213634322492,0.026961327298088904,0.5151305737679143,0.11927136823332908,-0.5987672431713678
isotropic1024coarse,Jaumann_hybrid,2.098882784969793,"{'c1': 0.08154232342922003, 'c2': -0.31624303067103254, 'c3': -0.0006250259239677315}",1.0014844553232125,0.16671023940838078,0.23538526983875008,0.1730286274460725,-0.07546379134697875
isotropic1024coarse,Champion,2.514868922626182,"{'c1': 0.04034659546250622, 'c2': 0.4523757993568349, 'c3': 2.788702447002226e-06}",0.953341137399637,0.3933832393698165,0.30904608750984297,0.46357827986244854,0.977603799269594
isotropic1024coarse,Wstretch_hybrid,2.038588748615392,"{'c1': 0.07893593038790571, 'c2': -0.5306504233251488, 'c3': -0.6278449002180905, 'c4': 0.6749242482233405}",1.0869919171322044,-0.14176594371796392,0.04270056457829828,-0.24621465034852594,-0.939677203593844
isotropic4096_matched_filter,Leonard,2.3925538568289726,{'c1': 0.09119080876978386},1.0774668918035588,0.13580927232474474,0.16748525423352592,0.1001027903241033,0.23077121328815828
isotropic4096_matched_filter,WALE_like,2.5266372964556933,{'c1': -0.16628724319216168},1.108520115414769,-0.32750109197404925,-0.14447601881807193,-0.33170616072070463,-0.9446944637671807
isotropic4096_matched_filter,Smagorinsky_like,2.5547793618435803,{'c1': 0.0011195143524191295},1.0887003773342883,0.12895273986598585,-0.08409615250422169,-0.2341579385380051,0.5380147385542597
isotropic4096_matched_filter,WALE_canonical,2.768627116251371,{'c1': -0.3397433431730206},1.0930375073151344,-0.09154457699833603,0.1414280503284159,0.15125132357445656,-0.35473985948884895
isotropic4096_matched_filter,Jaumann_hybrid,2.098882784969793,"{'c1': 0.08154232342922003, 'c2': -0.31624303067103254, 'c3': -0.0006250259239677315}",1.080598589845494,0.12000964695857912,0.20604686067726824,0.12329623208665387,0.0906171496889935
isotropic4096_matched_filter,Champion,2.514868922626182,"{'c1': 0.04034659546250622, 'c2': 0.4523757993568349, 'c3': 2.788702447002226e-06}",1.0377024468815184,0.3411629989651508,0.19382909525575742,0.323942395791396,0.9208584594668061
isotropic4096_matched_filter,Wstretch_hybrid,2.038588748615392,"{'c1': 0.07893593038790571, 'c2': -0.5306504233251488, 'c3': -0.6278449002180905, 'c4': 0.6749242482233405}",1.1054684152279095,-0.0739376173705996,0.08762592407624813,-0.08067577674624189,-0.8105197423844867
