model,n_frames,viscosity,teacher_rhs_rmse_mean,teacher_rhs_rmse_final,teacher_energy_rel_mean,rollout_rmse_mean,rollout_rmse_final,rollout_energy_rel_mean,rollout_energy_rel_final,final_spectrum_corr,final_div_rms,runtime_s,status
No_model,13,0.0007381380695497867,1.1582432901263657,1.159599575940669,4.6556877123571096e-06,0.01087580991723037,0.010992123055073025,0.00029113212197558907,-0.00026729364908396154,0.9999999681388713,0.00018293975187045104,85.24477929100976,ok
Bardina_Leonard,13,0.0007381380695497867,1.1519116672948377,1.153342098406059,5.5651456687671395e-06,0.010874601762009394,0.0109889703706083,0.0003522804245850886,-0.00037943149411520633,0.9999999758566709,0.00018301407666273625,86.05690004199278,ok
Dynamic_Smagorinsky,13,0.0007381380695497867,1.1547509836409142,1.1561443057079308,1.7261947831980508e-05,0.010875067834554277,0.01099012735108642,0.0004216564997925842,-0.0005065765818567597,0.9999999771473082,0.00018261396618645377,119.04246383300051,ok
WALE_canonical,13,0.0007381380695497867,1.1579537924762744,1.1593178048057955,3.373336257562637e-06,0.01087574900666121,0.010991960326003965,0.0002987787850193821,-0.000281316483127455,0.9999999688498591,0.00018299390955539316,90.96461429199553,ok
AMD_canonical,13,0.0007381380695497867,1.1565862018313346,1.1579417457092083,8.482450036156363e-07,0.010875470411783017,0.01099122263249661,0.0003238080576260082,-0.0003272248399724082,0.9999999710381196,0.00018281147860853037,93.26043591598864,ok
Champion,13,0.0007381380695497867,1.1560117003913613,1.1573847151695198,1.4010053182322414e-06,0.01087537476807891,0.010990985458907043,0.0003105102864162978,-0.00030283453946222455,0.9999999693576896,0.00018284164716866167,101.39689400000498,ok
Jaumann_hybrid,13,0.0007381380695497867,1.1574773762137325,1.1588513456683978,1.962455366238556e-06,0.010875611493838193,0.010991598436182828,0.0003072147110091163,-0.00029678797738732756,0.9999999698211989,0.0001830354711612159,112.8681173750083,ok
Wstretch_hybrid,13,0.0007381380695497867,1.162933317883802,1.164345138099932,6.575463542433316e-06,0.010876711767555251,0.01099449227766598,0.00027959703588761837,-0.0002461127711716966,0.9999999676826922,0.0001837025019372609,117.41889070800971,ok
