objective,seed,fit_seed,lambda_pi,lambda_diss,train_loss,constants,nmse_iso,nmse_chan,mean_r_iso,mean_r_chan,tau12_r_chan,pi_r_iso,pi_r_chan,pi_bias_iso,pi_bias_chan,pi_rmse_iso,pi_rmse_chan,neg_frac_iso,neg_frac_chan,wall_tau12_corr_chan
NMSE_only,0,30000,0.0,0.0,2.0207504418140916,"{'c1': 0.041016981202789876, 'c2': 0.44083943259639025, 'c3': 2.7525599958300435e-06}",0.9737730582174847,1.0443414936592377,0.3004465423230321,0.29700033305695056,0.2641609441035217,0.9677178316376064,0.6068260072493024,-0.025929196092132123,0.0012013577935718223,2.3214655929768657,0.00906455038524875,0.3937644958496094,0.4798851013183594,-0.5867077453782211
NMSE_only,1,30001,0.0,0.0,2.0716363626575753,"{'c1': 0.03977094677484007, 'c2': 0.46913629363215037, 'c3': 2.7926250863219804e-06}",0.9716819856581753,1.0464589716168677,0.30004874108646834,0.298151488177498,0.2694534518928048,0.9693623493547462,0.6063134518689693,-0.025532876601544366,0.001221281328070176,2.29914229767369,0.009053896003944031,0.3912467956542969,0.4792213439941406,-0.5875976220383412
NMSE_only,2,30002,0.0,0.0,1.9785170814202768,"{'c1': 0.037453380346474746, 'c2': 0.46054202095829205, 'c3': 2.8005793375855948e-06}",0.973130596344686,1.0450992723187225,0.29977077673255864,0.29859673549172433,0.2715878276960292,0.970012394688621,0.6060410623707121,-0.02572917041343618,0.0012197455570522756,2.307772258654655,0.009059956936651885,0.3901824951171875,0.478973388671875,-0.5879674676770485
NMSE_only,3,30003,0.0,0.0,1.9712089132509276,"{'c1': 0.03910210483907589, 'c2': 0.453652922983645, 'c3': 2.8482844290328514e-06}",0.9732220991194546,1.0448780276342735,0.3001431599058546,0.2979562249445108,0.268561611960598,0.9690887083658958,0.6064155015028775,-0.02578777284790635,0.0012126415807485035,2.3122817031451444,0.009059748450361558,0.3916740417480469,0.4793891906738281,-0.5874448012355351
NMSE_only,4,30004,0.0,0.0,2.021823556861525,"{'c1': 0.03963304646510608, 'c2': 0.46482364316632047, 'c3': 2.8127579000227167e-06}",0.972093492548979,1.0460228381751004,0.30008261671528924,0.2980846704967823,0.2691464504522892,0.9692682960177351,0.6063493383609134,-0.025602511302851627,0.0012187937957338028,2.302768322940376,0.009054927266431785,0.3914031982421875,0.47925567626953125,-0.5875448986719459
NMSE_only,5,30005,0.0,0.0,2.0491777307775854,"{'c1': 0.042595871996655994, 'c2': 0.4811589709253065, 'c3': 2.772151481806583e-06}",0.9698289631999306,1.0485522680510893,0.30027417788000077,0.29764581581825394,0.26707892718756654,0.9686308088631149,0.6065704741846786,-0.025270025112595355,0.0012241284468692754,2.2873674265844053,0.009049490912040156,0.39249420166015625,0.47960662841796875,-0.5871946340951678
NMSE_only,6,30006,0.0,0.0,2.050830114041171,"{'c1': 0.04120030196800112, 'c2': 0.4673800286878839, 'c3': 2.7674459147298767e-06}",0.9714064191531213,1.0467452746811314,0.3002550642688745,0.2976951173996794,0.2673191037243996,0.9687052454461825,0.6065465800834174,-0.0255193986350324,0.0012177803822336138,2.299601406854283,0.009051938342792042,0.3924064636230469,0.47962188720703125,-0.5872348616427934
NMSE_only,7,30007,0.0,0.0,2.03747931272289,"{'c1': 0.03907901274377276, 'c2': 0.46046049199627925, 'c3': 2.906655213886713e-06}",0.9726376973367137,1.0454939887948755,0.3000554113054967,0.2981329628661112,0.26939425085217267,0.9693442326723196,0.6063204932245442,-0.025684638301844438,0.0012169712130839759,2.3067216789608684,0.009057074098919326,0.3912696838378906,0.4792366027832031,-0.5875869856590457
NMSE_only,8,30008,0.0,0.0,1.9582173189031054,"{'c1': 0.0400949421930275, 'c2': 0.4446515227725296, 'c3': 2.754526771169707e-06}",0.9737114633837424,1.044374549282738,0.30034904462998463,0.2974095261078041,0.2660235620624886,0.9683025066453474,0.6066703372124291,-0.02589704330297561,0.0012053049897629196,2.318974372205164,0.009063251800386914,0.3930511474609375,0.4796257019042969,-0.5870171518376665
NMSE_only,9,30009,0.0,0.0,1.99259731570001,"{'c1': 0.04006965378257665, 'c2': 0.4587908306402081, 'c3': 2.791874138198211e-06}",0.9724829934911222,1.0456029113186633,0.30021106946784304,0.29780413179566884,0.26783741849390524,0.9688655310186023,0.6064934220787973,-0.025682190575386038,0.0012142598568772609,2.3074095725484245,0.009056015071480041,0.39208221435546875,0.47945404052734375,-0.5873221672479982
