objective,lambda_pi,lambda_diss,train_loss_mean,train_loss_std,nmse_iso_mean,nmse_iso_std,nmse_chan_mean,nmse_chan_std,mean_r_iso_mean,mean_r_iso_std,mean_r_chan_mean,mean_r_chan_std,tau12_r_chan_mean,tau12_r_chan_std,pi_r_iso_mean,pi_r_iso_std,pi_r_chan_mean,pi_r_chan_std,pi_bias_iso_mean,pi_bias_iso_std,pi_bias_chan_mean,pi_bias_chan_std,pi_rmse_iso_mean,pi_rmse_iso_std,pi_rmse_chan_mean,pi_rmse_chan_std,neg_frac_iso_mean,neg_frac_iso_std,neg_frac_chan_mean,neg_frac_chan_std,wall_tau12_corr_chan_mean,wall_tau12_corr_chan_std
NMSE_only,0.0,0.0,2.0127256119528565,0.03536491122401095,0.9725814593754115,0.0012600041879012463,1.0455716554790746,0.001308389233791556,0.3002041189976076,0.0001874736637592286,0.29773820277644064,0.00045634253310732883,0.26755153241903484,0.002117900671484742,0.9687732694432728,0.0006550719846739845,0.6065050108698906,0.00022016175069916713,-0.025698856863757138,0.00020605767606996468,0.0012133899731894713,7.752452603936163e-06,2.308360097376148,0.010658018381662802,0.009058184817720591,6.254832113618127e-06,0.39220841725667316,0.0010513332174206514,0.4794899622599284,0.0002699261488516139,-0.5872767311184967,0.00035835184344088774
NMSE_plus_backscatter,1.0,0.0,1.517683916943497,0.02902142869511303,0.9728301747411455,0.0012818312245803315,1.0453220682125244,0.001316918180446228,0.3002291583335752,0.0001959300718813318,0.2976285165412447,0.0005756217936750199,0.2670539920732214,0.0026412586886087443,0.9686167009949608,0.0008220952390616453,0.6065458037852375,0.0002526078166059272,-0.02574354642884723,0.00022191605983763282,0.001211375577183369,9.648744405744652e-06,2.3108097532128786,0.01191615757236104,0.009059933698617746,5.982031464278169e-06,0.3924557367960612,0.001273632396690175,0.47953160603841144,0.000331115332006018,-0.5871940553047735,0.0004437136943885826
NMSE_plus_dissipation,0.0,1.0,2.9830866259227644,0.06265900169228059,0.9730682347697606,0.0013430278145083684,1.0451056036053143,0.0013961946501359498,0.3003302974836961,0.00017815076403228836,0.2973223704897616,0.0005544557362306929,0.26564732867209134,0.0025457712871409916,0.9681787897179422,0.0007949099300319952,0.6066792059847467,0.00023546466757903554,-0.025799024098214437,0.00021916442992186316,0.0012074144653930721,8.500796299677535e-06,2.3142769217995305,0.011355446962019594,0.009061143471770677,6.811149973090593e-06,0.39313634236653644,0.0011944128561953468,0.4797172546386719,0.0003528783982172044,-0.5869579041732543,0.0004263554866247613
Full_objective,1.0,1.0,2.4652246256928483,0.08908829343012378,0.9730675270927688,0.0020131945079343463,1.0451254627614786,0.0019646529439820313,0.3002884554172991,0.00017812146996602847,0.29745505792028754,0.0005784864392679265,0.2662556252568184,0.0026399096336810817,0.9683682940768003,0.0008243214368188483,0.6066225120871079,0.0002418193113515516,-0.025788390854534948,0.00033851358366196536,0.0012088635805070289,1.3115859799632613e-05,2.3134131546205365,0.017881923907513846,0.009063854458903977,1.56373559087906e-05,0.3928362528483073,0.001249103512341725,0.47963587443033856,0.00034868271372916557,-0.5870598170261525,0.00044198673789555196
