regime,seed,fit_seed,train_loss,c1,c2,c3
ISO_only,0,10400,0.9366525642093226,0.11542488175482202,1.4795127027616362,-0.21310465710296858
ISO_only,1,10401,0.9271235115734943,0.1156255395206493,1.4869760935287544,-0.16087292856048296
ISO_only,2,10402,0.9623059372033992,0.12317107933458306,1.5375266988421927,-0.19733915497665824
ISO_only,3,10403,0.9419388410682005,0.1202549834340412,1.486600097646862,-0.31929715356153565
ISO_only,4,10404,0.937974996556447,0.11551476627279489,1.4213173251762365,-0.11241754233322064
ISO_only,5,10405,0.9083214064811249,0.10589582713142433,1.4987288531170468,-0.06655838891269218
ISO_only,6,10406,0.9221704772961461,0.12027730419362732,1.4647683792704074,-0.22212017453697205
ISO_only,7,10407,0.9165372573663751,0.10788103841526693,1.483234021866723,-0.0823902171562304
ISO_only,8,10408,0.9244655718658683,0.12038668561275469,1.4141594623251172,0.13147459882229526
ISO_only,9,10409,0.9343401986666945,0.11322384908916047,1.4780181001964112,-0.2132977568481116
ISO_only,10,10410,0.956148178199693,0.11190272030110007,1.4798789924430253,-0.20070606400127675
ISO_only,11,10411,0.9136807895730003,0.10340219406215252,1.5212863091013948,-0.07452773635157951
CHAN_only,0,11400,1.0535344512349158,0.030366194228366082,0.15350069809609537,2.8648470493567783e-06
CHAN_only,1,11401,1.0593708917317046,0.03217910654837729,0.1600363604472636,2.8420263238941444e-06
CHAN_only,2,11402,1.0611900686407096,0.03372341087767919,0.1811401505708579,2.8180157101313443e-06
CHAN_only,3,11403,1.0258996975287258,0.03169796114893009,0.15628534207407715,2.79298737220528e-06
CHAN_only,4,11404,1.0667944481137173,0.031216835030347376,0.15838801895692295,2.86852813657374e-06
CHAN_only,5,11405,1.0348717052244032,0.03251425216182331,0.16117579802245702,2.8555373557108077e-06
CHAN_only,6,11406,1.0693736290639384,0.0333249047705733,0.1520760906669137,2.886955197610812e-06
CHAN_only,7,11407,1.0389124183228708,0.03016860123683332,0.15916382671848675,2.791040276159485e-06
CHAN_only,8,11408,1.0407969108730368,0.031033698569332014,0.152593856136179,2.8424122178478968e-06
CHAN_only,9,11409,1.0285945465816992,0.03432601706896201,0.15596634466710738,2.8513900145664845e-06
CHAN_only,10,11410,1.0491983413403294,0.03373523922611046,0.15514719440760893,2.8599004386802907e-06
CHAN_only,11,11411,1.0331417078795297,0.032470581103549424,0.16130862384234318,2.873868998848995e-06
Joint,0,12400,2.449531109565307,0.039680853184046024,0.4619279916626645,2.7829980365147846e-06
Joint,1,12401,2.5783550466423364,0.04508532836495719,0.4741616521931524,2.773239822618898e-06
Joint,2,12402,2.3755707155709085,0.0409819907207311,0.46885853583726783,2.81086561358772e-06
Joint,3,12403,2.4614063482614688,0.040146188097119076,0.4388265867180031,2.814082051030837e-06
Joint,4,12404,2.5257028582285006,0.0409888704907648,0.45929442152771277,2.8160571967549026e-06
Joint,5,12405,2.460583960599756,0.03963708094533896,0.44755772363754087,2.6947218654066705e-06
Joint,6,12406,2.5019175451227786,0.03911775015920717,0.4372305228230786,2.817593250751636e-06
Joint,7,12407,2.499124450807405,0.03917863095566837,0.4697808591832674,2.753742577867793e-06
Joint,8,12408,2.376912257068004,0.039634806859154534,0.41557714574892346,2.7788268330491637e-06
Joint,9,12409,2.3786245384456643,0.03821973844467358,0.45499642722037115,2.744945429350901e-06
Joint,10,12410,2.303350979599602,0.039687662232732894,0.42709078347961826,2.8095592983114296e-06
Joint,11,12411,2.502494164022867,0.03986260749449721,0.44966894986747885,2.7627330960216163e-06
