regime,model,seed,fit_seed,train_loss,constants,nmse_iso,nmse_chan,mean_r_iso,mean_r_chan,r11_iso,r12_iso,r11_chan,r12_chan,pi_r_iso,pi_r_chan,wall_tau12_corr_chan
ISO_only,Leonard,0,10000,1.3565953313151602,{'c1': 0.2686695734586976},1.0607248725262846,2.0259543663161224,0.18271484712796202,0.16050906685643132,0.24138367510248915,0.1663303864619784,0.16525612437523413,0.03912312123374777,0.43710657942673037,0.12871102070326976,0.15958553726020785
ISO_only,Leonard,1,10001,1.3747308824642657,{'c1': 0.2589326446577627},1.0546872319267975,1.946716088991214,0.18271484712796196,0.16050906685643132,0.24138367510248923,0.1663303864619784,0.16525612437523413,0.03912312123374777,0.4371065794267308,0.12871102070327015,0.15958553726020766
ISO_only,Leonard,2,10002,1.2724966361743641,{'c1': 0.3054050565374121},1.0870742041194288,2.355031178900772,0.18271484712796202,0.1605090668564313,0.24138367510248934,0.16633038646197834,0.16525612437523413,0.03912312123374777,0.43710657942673176,0.12871102070327034,0.15958553726020777
ISO_only,Leonard,3,10003,1.4086415882643244,{'c1': 0.2601409774265294},1.0554149373095238,1.9563675369863975,0.18271484712796202,0.16050906685643132,0.2413836751024893,0.16633038646197834,0.16525612437523413,0.039123121233747775,0.4371065794267315,0.12871102070327012,0.15958553726020758
ISO_only,Leonard,4,10004,1.3727985070291921,{'c1': 0.25410209574840764},1.0518390963133992,1.9086473008350124,0.18271484712796196,0.16050906685643132,0.2413836751024893,0.16633038646197834,0.16525612437523415,0.039123121233747775,0.43710657942672915,0.12871102070326987,0.15958553726020805
ISO_only,Leonard,5,10005,1.4196176833286454,{'c1': 0.21544203915676033},1.0325612596254876,1.633644246457318,0.18271484712796204,0.16050906685643132,0.2413836751024893,0.1663303864619784,0.16525612437523413,0.03912312123374777,0.4371065794267304,0.12871102070327062,0.15958553726020777
ISO_only,Leonard,6,10006,1.3117512103912619,{'c1': 0.303476075372588},1.0855501767453637,2.336566510769788,0.18271484712796196,0.16050906685643132,0.24138367510248923,0.16633038646197834,0.16525612437523415,0.039123121233747775,0.4371065794267301,0.12871102070327026,0.1595855372602077
ISO_only,Leonard,7,10007,1.3913587096437303,{'c1': 0.25910445099529045},1.054790327989268,1.948085233869631,0.18271484712796202,0.1605090668564313,0.24138367510248923,0.16633038646197837,0.16525612437523415,0.039123121233747775,0.4371065794267304,0.12871102070327028,0.15958553726020822
ISO_only,Leonard,8,10008,1.4006235452811557,{'c1': 0.2707184228851821},1.062045819102506,2.0430538504688758,0.18271484712796202,0.16050906685643132,0.2413836751024893,0.1663303864619784,0.16525612437523413,0.03912312123374777,0.4371065794267309,0.1287110207032699,0.1595855372602076
ISO_only,Leonard,9,10009,1.3808703536268987,{'c1': 0.2509012988534184},1.0500056420246517,1.8838759745383682,0.18271484712796202,0.16050906685643132,0.2413836751024893,0.16633038646197834,0.16525612437523415,0.03912312123374777,0.43710657942672954,0.12871102070327045,0.15958553726020774
ISO_only,Leonard,10,10010,1.3875755480035927,{'c1': 0.24408152251204404},1.0462421202778183,1.832302919557138,0.18271484712796202,0.16050906685643132,0.2413836751024892,0.1663303864619784,0.16525612437523415,0.03912312123374778,0.4371065794267298,0.12871102070326987,0.15958553726020747
ISO_only,Leonard,11,10011,1.3404317691940089,{'c1': 0.24851270993322497},1.048665352690332,1.8656260169783647,0.18271484712796202,0.16050906685643132,0.2413836751024893,0.16633038646197834,0.16525612437523413,0.039123121233747775,0.43710657942673026,0.12871102070327023,0.15958553726020783
ISO_only,WALE_like,0,10100,0.9510988666544873,{'c1': 1.761110468506729},0.9648806171937773,1.4456458058488701,0.26294294117335965,0.2651153342047154,-0.06680065359843823,0.3887472762375703,-0.05778430156202956,0.28899959691649624,0.9776183897992899,0.589374297485109,-0.5964905931912007
ISO_only,WALE_like,1,10101,1.0408392517308225,{'c1': 2.177531459523905},0.9962111594473956,1.6708385166225144,0.26294294117335965,0.26511533420471545,-0.06680065359843824,0.3887472762375704,-0.05778430156202956,0.28899959691649624,0.9776183897992915,0.5893742974851105,-0.5964905931912007
ISO_only,WALE_like,2,10102,0.9565729364897136,{'c1': 1.8372663855771905},0.9692099832703681,1.4829513406470474,0.26294294117335965,0.26511533420471545,-0.06680065359843823,0.3887472762375704,-0.057784301562029544,0.28899959691649624,0.9776183897992877,0.58937429748511,-0.5964905931912009
ISO_only,WALE_like,3,10103,0.9232040217781691,{'c1': 1.5756847924011932},0.9569607045849045,1.3620727713611958,0.26294294117335965,0.26511533420471545,-0.06680065359843823,0.3887472762375704,-0.05778430156202956,0.28899959691649624,0.9776183897992918,0.5893742974851098,-0.5964905931912007
ISO_only,WALE_like,4,10104,1.02751040309755,{'c1': 2.248593932422743},1.0034298797996766,1.714452261633625,0.26294294117335965,0.2651153342047154,-0.06680065359843822,0.38874727623757027,-0.05778430156202956,0.28899959691649624,0.9776183897992932,0.5893742974851092,-0.5964905931912007
ISO_only,WALE_like,5,10105,1.0152826766021288,{'c1': 2.182043465515091},0.9966532735328675,1.6735627671934181,0.26294294117335965,0.2651153342047154,-0.06680065359843823,0.3887472762375704,-0.05778430156202956,0.28899959691649624,0.9776183897992897,0.5893742974851098,-0.5964905931912007
ISO_only,WALE_like,6,10106,1.1265553100577559,{'c1': 2.4752075623110583},1.0300955161529834,1.8636293481682422,0.26294294117335965,0.2651153342047154,-0.06680065359843822,0.3887472762375704,-0.05778430156202956,0.28899959691649624,0.9776183897992918,0.5893742974851092,-0.5964905931912007
ISO_only,WALE_like,7,10107,1.0572255861087858,{'c1': 2.5022762636626896},1.033651796783098,1.8824760478344942,0.26294294117335965,0.26511533420471545,-0.06680065359843822,0.3887472762375703,-0.057784301562029544,0.28899959691649624,0.9776183897992893,0.5893742974851093,-0.5964905931912007
ISO_only,WALE_like,8,10108,1.0395236863679007,{'c1': 2.315419887084236},1.0107162237174225,1.7568449387856466,0.26294294117335965,0.2651153342047154,-0.06680065359843823,0.3887472762375704,-0.05778430156202956,0.28899959691649624,0.977618389799287,0.5893742974851105,-0.5964905931912006
ISO_only,WALE_like,9,10109,0.9566722404412972,{'c1': 1.7111125384445156},0.9623791716277584,1.4220979222233985,0.26294294117335965,0.26511533420471545,-0.06680065359843823,0.3887472762375703,-0.05778430156202956,0.28899959691649624,0.9776183897992898,0.5893742974851098,-0.5964905931912007
ISO_only,WALE_like,10,10110,0.9369042510145281,{'c1': 1.683419198789205},0.9611099218229108,1.4093769892670864,0.26294294117335965,0.2651153342047154,-0.06680065359843822,0.38874727623757027,-0.057784301562029544,0.2889995969164963,0.9776183897992904,0.5893742974851122,-0.5964905931912006
ISO_only,WALE_like,11,10111,0.9472484537928629,{'c1': 1.9832159480172276},0.979258897211834,1.559297208449533,0.26294294117335965,0.26511533420471545,-0.06680065359843824,0.3887472762375703,-0.05778430156202956,0.28899959691649624,0.9776183897992922,0.5893742974851089,-0.5964905931912006
ISO_only,Smagorinsky_like,0,10200,1.0706585896036611,{'c1': -0.04276733949971847},1.0414190861894264,80.67867624175366,0.05229845513928003,0.0371034269963798,0.181717259904106,-0.1020987023837651,0.36677664828692824,0.044561653176857056,-0.20461816937332256,-0.07329432215686847,0.576539188270534
ISO_only,Smagorinsky_like,1,10201,0.9893584976555149,{'c1': -0.04439973480634689},1.0415089252128462,86.87173020669711,0.052298455139280074,0.0371034269963798,0.181717259904106,-0.10209870238376505,0.36677664828692824,0.04456165317685706,-0.2046181693733235,-0.07329432215686847,0.5765391882705342
ISO_only,Smagorinsky_like,2,10202,1.0222932016824597,{'c1': -0.04332437794271854},1.0414495657230156,82.7659234466505,0.05229845513928005,0.037103426996379786,0.181717259904106,-0.10209870238376507,0.36677664828692824,0.044561653176857056,-0.204618169373322,-0.0732943221568686,0.5765391882705342
ISO_only,Smagorinsky_like,3,10203,1.0517542968195,{'c1': -0.042883756785161084},1.0414254410387072,81.11266438443783,0.05229845513928003,0.0371034269963798,0.181717259904106,-0.10209870238376509,0.36677664828692824,0.044561653176857056,-0.20461816937332167,-0.07329432215686826,0.5765391882705342
ISO_only,Smagorinsky_like,4,10204,1.0461016962675265,{'c1': -0.04354006876861385},1.0414614169857517,83.58138007968215,0.05229845513928003,0.03710342699637978,0.181717259904106,-0.10209870238376506,0.36677664828692813,0.044561653176857056,-0.20461816937332294,-0.0732943221568682,0.5765391882705342
ISO_only,Smagorinsky_like,5,10205,1.0172667566922318,{'c1': -0.04387784736812749},1.0414800317157324,84.86654709613667,0.05229845513928005,0.03710342699637978,0.181717259904106,-0.10209870238376507,0.3667766482869282,0.04456165317685705,-0.204618169373323,-0.07329432215686853,0.5765391882705341
ISO_only,Smagorinsky_like,6,10206,1.1066636983720686,{'c1': -0.04242414145766884},1.0414003987431684,79.40614466758119,0.052298455139280046,0.03710342699637977,0.181717259904106,-0.10209870238376509,0.36677664828692813,0.044561653176857056,-0.20461816937332333,-0.07329432215686847,0.5765391882705341
ISO_only,Smagorinsky_like,7,10207,1.0520965190881109,{'c1': -0.04292170668498753},1.0414275143352811,81.25439151754863,0.052298455139280046,0.0371034269963798,0.181717259904106,-0.10209870238376507,0.36677664828692824,0.04456165317685706,-0.20461816937332414,-0.07329432215686833,0.5765391882705341
ISO_only,Smagorinsky_like,8,10208,0.9802740213137127,{'c1': -0.044984497911259025},1.041541491079286,89.14665665499412,0.05229845513928005,0.0371034269963798,0.181717259904106,-0.10209870238376507,0.36677664828692824,0.044561653176857056,-0.20461816937332347,-0.0732943221568685,0.5765391882705343
ISO_only,Smagorinsky_like,9,10209,1.0260907105019683,{'c1': -0.04395954908874794},1.0414845443716534,85.17889423862859,0.052298455139280074,0.037103426996379786,0.18171725990410603,-0.10209870238376506,0.36677664828692824,0.04456165317685706,-0.20461816937332425,-0.07329432215686818,0.5765391882705342
ISO_only,Smagorinsky_like,10,10210,0.9799386860093876,{'c1': -0.04466937091933462},1.041523916311288,87.91700796638105,0.05229845513928005,0.03710342699637978,0.181717259904106,-0.1020987023837651,0.36677664828692824,0.04456165317685705,-0.2046181693733212,-0.0732943221568682,0.5765391882705341
ISO_only,Smagorinsky_like,11,10211,1.057248241163663,{'c1': -0.04290598286099242},1.0414266552006768,81.19565434779078,0.05229845513928005,0.037103426996379786,0.181717259904106,-0.10209870238376507,0.36677664828692824,0.04456165317685707,-0.20461816937332347,-0.07329432215686835,0.5765391882705341
ISO_only,WALE_canonical,0,10300,1.0795064379496226,{'c1': -0.38502294010984073},1.0472347430944167,1.0697949933122493,-0.009056153416995375,-0.09344612816639093,0.2108621480067307,-0.19973015635102517,0.023286635034905717,-0.4038562447926494,-0.38367634816976803,-0.38939011047295713,-0.9504536273572189
ISO_only,WALE_canonical,1,10301,1.0613085340185895,{'c1': -0.3925006844660018},1.0474028066647394,1.0698535655827337,-0.009056153416995382,-0.09344612816639093,0.21086214800673067,-0.1997301563510252,0.02328663503490573,-0.4038562447926494,-0.3836763481697704,-0.3893901104729563,-0.9504536273572189
ISO_only,WALE_canonical,2,10302,1.019162714361851,{'c1': -0.3959679665130229},1.0474809969811132,1.0698808292442263,-0.009056153416995396,-0.09344612816639093,0.21086214800673062,-0.1997301563510252,0.023286635034905717,-0.40385624479264953,-0.3836763481697685,-0.3893901104729564,-0.9504536273572188
ISO_only,WALE_canonical,3,10303,1.0730952021505407,{'c1': -0.3831385937019844},1.0471925141475669,1.0697802821992717,-0.009056153416995387,-0.0934461281663909,0.21086214800673062,-0.19973015635102515,0.023286635034905714,-0.4038562447926494,-0.38367634816976837,-0.38939011047295724,-0.9504536273572188
ISO_only,WALE_canonical,4,10304,1.055264770010521,{'c1': -0.3883027483765401},1.0473083620793158,1.0698206456113717,-0.009056153416995392,-0.09344612816639093,0.21086214800673067,-0.1997301563510252,0.02328663503490572,-0.4038562447926494,-0.3836763481697713,-0.3893901104729574,-0.9504536273572188
ISO_only,WALE_canonical,5,10305,1.0694990318794406,{'c1': -0.3948202042177878},1.047455095493461,1.0698717968932185,-0.009056153416995378,-0.09344612816639093,0.21086214800673067,-0.1997301563510252,0.023286635034905724,-0.4038562447926495,-0.3836763481697706,-0.38939011047295763,-0.9504536273572189
ISO_only,WALE_canonical,6,10306,1.0594530753130074,{'c1': -0.3971926130786006},1.0475086536134561,1.0698904746662548,-0.00905615341699538,-0.09344612816639092,0.2108621480067307,-0.1997301563510252,0.02328663503490571,-0.4038562447926494,-0.38367634816976726,-0.389390110472957,-0.950453627357219
ISO_only,WALE_canonical,7,10307,1.0668116514614296,{'c1': -0.3938632798090318},1.047433514568407,1.0698642719118763,-0.009056153416995396,-0.09344612816639093,0.21086214800673062,-0.19973015635102517,0.023286635034905717,-0.4038562447926495,-0.38367634816977,-0.3893901104729575,-0.9504536273572187
ISO_only,WALE_canonical,8,10308,1.0447272715143439,{'c1': -0.3919581637506436},1.0473905873877727,1.0698493056870952,-0.009056153416995375,-0.09344612816639093,0.21086214800673067,-0.19973015635102515,0.023286635034905728,-0.40385624479264953,-0.3836763481697711,-0.3893901104729582,-0.9504536273572188
ISO_only,WALE_canonical,9,10309,1.0508968959081906,{'c1': -0.39038086777614145},1.0473550848431237,1.0698369299309982,-0.00905615341699538,-0.09344612816639093,0.2108621480067307,-0.19973015635102523,0.02328663503490571,-0.4038562447926494,-0.3836763481697723,-0.38939011047295774,-0.9504536273572187
ISO_only,WALE_canonical,10,10310,1.050774795167188,{'c1': -0.391004900891789},1.0473691267681084,1.0698418245666113,-0.009056153416995389,-0.09344612816639093,0.2108621480067307,-0.1997301563510252,0.023286635034905724,-0.4038562447926495,-0.38367634816977064,-0.38939011047295646,-0.9504536273572187
ISO_only,WALE_canonical,11,10311,1.0908917600467471,{'c1': -0.3712346726987802},1.0469268781940515,1.0696878016812912,-0.009056153416995366,-0.09344612816639093,0.2108621480067307,-0.19973015635102523,0.023286635034905714,-0.4038562447926494,-0.38367634816976814,-0.3893901104729566,-0.9504536273572187
ISO_only,Champion,0,10400,0.9366525642093226,"{'c1': 0.11542488175482202, 'c2': 1.4795127027616362, 'c3': -0.21310465710296858}",0.937810527289898,73273847.07521228,0.28877057558710767,0.17886685289337212,0.016694675448075146,0.39553310455393204,0.16794093044763359,0.26770715973526366,0.9651321723401585,0.5742631272228711,-0.68789831780121
ISO_only,Champion,1,10401,0.9271235115734943,"{'c1': 0.1156255395206493, 'c2': 1.4869760935287544, 'c3': -0.16087292856048296}",0.9364499446989123,41757283.105113104,0.29155582611390685,0.18222121657681786,0.012107225947381057,0.4000536141378476,0.1698676284632949,0.2696299875386959,0.9667725763807896,0.5826540228444835,-0.6735017101304344
ISO_only,Champion,2,10402,0.9623059372033992,"{'c1': 0.12317107933458306, 'c2': 1.5375266988421927, 'c3': -0.19733915497665824}",0.9394010290572784,62833355.459611826,0.29027586024720703,0.1801734046285217,0.01646977840486466,0.3969196122275275,0.1688607170621163,0.26754167756943686,0.9654330516094389,0.5781854088908148,-0.6819357686923097
