regime,model,train_loss_mean,train_loss_std,nmse_iso_mean,nmse_iso_std,nmse_chan_mean,nmse_chan_std,mean_r_iso_mean,mean_r_iso_std,mean_r_chan_mean,mean_r_chan_std,r11_iso_mean,r11_iso_std,r12_iso_mean,r12_iso_std,r11_chan_mean,r11_chan_std,r12_chan_mean,r12_chan_std,pi_r_iso_mean,pi_r_iso_std,pi_r_chan_mean,pi_r_chan_std,wall_tau12_corr_chan_mean,wall_tau12_corr_chan_std
ISO_only,Leonard,1.3681243137263834,0.04053592510311756,1.0574667533875717,0.014795949052266834,1.9779892687224168,0.19272198909558938,0.18271484712796196,5.1304037436923246e-17,0.1605090668564313,2.5337258102033824e-17,0.2413836751024893,5.665583147960493e-17,0.1663303864619783,5.942113735624666e-17,0.16525612437523415,2.119867103594834e-17,0.039123121233747775,5.299667758987085e-18,0.4371065794267304,7.200419022730857e-16,0.12871102070327015,2.5172027167143304e-16,0.15958553726020777,1.9642504054360693e-16
ISO_only,WALE_like,0.9982198070113334,0.059364187287349976,0.9887130954287495,0.025905832258798656,1.6036038265029227,0.17345616688725457,0.2629429411733596,5.551115123125783e-17,0.2651153342047154,3.925231146709438e-17,-0.06680065359843823,9.813077866773595e-18,0.3887472762375703,4.5324665183683945e-17,-0.057784301562029544,1.2018516789897274e-17,0.28899959691649624,1.6024689053196365e-17,0.9776183897992904,1.7650451206812797e-15,0.5893742974851098,8.641453796114079e-16,-0.5964905931912007,8.479468414379336e-17
ISO_only,Smagorinsky_like,1.0333120762641503,0.03677566543588855,1.0414624155755694,4.354316882044097e-05,83.66463923735685,3.006122464346133,0.05229845513928003,2.2395183775777385e-17,0.037103426996379786,1.0408340855860843e-17,0.181717259904106,8.012344526598183e-18,-0.1020987023837651,2.997944808332385e-17,0.3667766482869282,5.314788097156787e-17,0.04456165317685706,7.757919228897728e-18,-0.20461816937332297,9.070242965750224e-16,-0.07329432215686837,1.3970000036909087e-16,0.5765391882705342,1.013490324081353e-16
ISO_only,WALE_canonical,1.0601160116484558,0.017644876051387218,1.0473381969862945,0.00015339450400282776,1.0698310601072665,5.3439951124578966e-05,-0.009056153416995383,8.731250023068179e-18,-0.09344612816639093,8.958073510310954e-18,0.21086214800673064,4.163336342344337e-17,-0.1997301563510252,2.7755575615628914e-17,0.023286635034905717,6.6434851214459835e-18,-0.4038562447926495,4.8074067159589095e-17,-0.38367634816976964,1.529833346616346e-15,-0.3893901104729571,5.771113281242762e-16,-0.9504536273572186,2.5438405243138006e-16
ISO_only,Champion,0.9318049775049806,0.01574607067051454,0.9361136363140005,0.0032791471438801045,52975680.07554332,42658300.64657383,0.2920764486016026,0.005362998262975321,0.17401203573468885,0.03458166224532741,0.01035024498776573,0.010105181391926427,0.401239119456873,0.008931625644883031,0.14418953575622642,0.0890262754808201,0.2697515372761777,0.00407279278908673,0.9669666645246596,0.003068424648207485,0.5837590802684333,0.014010586534149761,-0.6418142997375312,0.10203638409410128
CHAN_only,Leonard,0.9643526537330437,0.01688978836771181,1.0164861041767104,0.0007081047330468961,1.0690799724027327,0.004356832550680667,0.18271484712796202,3.303574279200384e-17,0.16050906685643132,0.0,0.2413836751024893,6.154398609093795e-17,0.16633038646197837,3.758122704069111e-17,0.16525612437523415,2.4037033579794548e-17,0.039123121233747775,4.9065389333867974e-18,0.43710657942673153,1.0067535607417485e-15,0.1287110207032699,2.7870983912237205e-16,0.15958553726020783,1.5412052420354632e-16
CHAN_only,WALE_like,0.8412289701923786,0.032982642959820424,1.2069137894823274,0.003515810125988805,1.2317798214295814,0.004760739068676261,-0.2629429411733596,5.551115123125783e-17,-0.2651153342047154,3.925231146709438e-17,0.06680065359843823,8.958073510310954e-18,-0.38874727623757027,5.551115123125783e-17,0.057784301562029544,1.2668629051016912e-17,-0.28899959691649624,2.2662332591841973e-17,-0.9776183897992915,2.1372393985625524e-15,-0.5893742974851098,1.3777505409863063e-15,0.5964905931912006,1.1555567610933196e-16
CHAN_only,Smagorinsky_like,0.9732967978836046,0.007867565369003664,1.0395895079402395,1.422990203520342e-06,1.1398998192758665,0.005737630748930896,-0.05229845513928005,1.6759020960559477e-17,-0.037103426996379786,9.606463614075424e-18,-0.181717259904106,2.5337258102033824e-17,0.10209870238376506,1.4444459513666495e-17,-0.3667766482869282,5.067451620406765e-17,-0.044561653176857056,6.938893903907228e-18,0.20461816937332286,1.0160208906275295e-15,0.07329432215686842,1.355010410900656e-16,-0.5765391882705341,8.479468414379336e-17
CHAN_only,WALE_canonical,0.5678607120286266,0.011221806862366495,1.029986394525944,0.00017678405775058286,1.0651734595434714,0.00011036985276778514,0.009056153416995382,8.816992669520634e-18,0.09344612816639092,1.3877787807814457e-17,-0.21086214800673064,3.925231146709438e-17,0.1997301563510252,2.119867103594834e-17,-0.023286635034905717,4.12946784900048e-18,0.4038562447926495,4.239734207189668e-17,0.3836763481697703,1.1870174166008271e-15,0.3893901104729573,4.828725697329279e-16,0.9504536273572186,2.7194799110210365e-16
CHAN_only,Champion,1.0468065680446317,0.014493957928192604,1.0058991650323152,0.001093862543599988,1.0310078429885479,4.24282779239563e-05,0.288032851155513,0.0017560578070649354,0.27982794465373967,0.0015032377651210212,0.08728877277973938,0.005845058695321713,0.34889502406727146,0.005178138716028175,0.15802457558270325,0.0003938345533700406,0.19586733755497368,0.005254627610374262,0.9372872448702693,0.0033875599187128797,0.5967323072993456,0.0022263215935901014,-0.5744900084647712,0.0011821204299203223
Joint,Leonard,2.4282947085862205,0.040429077410221975,1.0134069140473931,0.0006221635764754961,1.100166256250636,0.0104798902655145,0.18271484712796196,4.006172263299092e-17,0.16050906685643132,0.0,0.24138367510248926,5.721958498152797e-17,0.16633038646197837,2.7755575615628914e-17,0.16525612437523415,2.4037033579794548e-17,0.039123121233747775,4.479036755155477e-18,0.43710657942673076,1.6577616340448224e-15,0.1287110207032701,4.009375920159162e-16,0.15958553726020785,1.4399946435514696e-16
Joint,WALE_like,2.547741111199896,0.030816260674449644,1.0219097132460464,0.02448693498581328,1.0689628392194988,0.008890759438530396,0.1752952941155731,0.19598609688912016,0.17674355613647696,0.19760530305310625,-0.044533769065625485,0.049790267462507934,0.25916485082504687,0.28975511191169867,-0.038522867708019694,0.04306987544168179,0.19266639794433082,0.21540758139177477,0.6517455931995267,0.7286737252150345,0.39291619832340685,0.4392936644559628,-0.3976603954608004,0.44459783810489933
