channel,n_runs,runtime_s_mean,best_search_loss_mean,best_search_loss_std,tree_size_mean,evaluated_count_mean,llm_enabled_fraction,llm_success_fraction,unique_best_expr_count,known_match_fraction
deterministic,4,109.30904947924864,1.85452205641142,0.01299269148238557,20.5,20.5,0.0,0.0,3,0.5
gemini,4,71.99414082274598,2.222517429983263,0.10735290628262154,6.5,7.0,1.0,1.0,3,0.0
