dataset,operator,comm_rms,ref_rms,relative_rms,mean_abs,max_abs
isotropic,grad_dz,5.575498423027217,10.005545749327428,0.5572408105177074,1.0934310417843927,93.21859221298281
isotropic,grad_dy,5.4181359827563,9.563269213872129,0.5665568814999947,1.0713006737228041,86.63707096846193
isotropic,grad_dx,4.86900879346956,8.868275301872627,0.5490367210906747,0.9442782506133963,88.56119569402647
isotropic,grad_all,15.888639981795308,28.47174234018789,0.5580494439698718,6.011320069264242,108.36808268609876
isotropic,strain,4.2927869071014015,7.017864041393003,0.6116942251633176,1.0311239387591533,86.63707096846193
isotropic,laplacian_strain,41755.370605781565,76186.31750612543,0.5480691543127072,16577.27015022874,658652.1974509002
channel,grad_dz,0.33490146339473686,2.5208086868183024,0.1328547720205775,0.05410586824071372,10.874561250365367
channel,grad_dy,1.0429066685870412,15.88551797429353,0.06565141094389917,0.16858024110999717,23.09220971014298
channel,grad_dx,0.13598785281456846,0.9570938505998013,0.14208413598033903,0.020241177456467023,6.217844763322779
channel,grad_all,1.9117839880700753,27.908073368794064,0.06850290103536034,0.5680614689917739,23.152900938494966
channel,strain,0.455860172907891,6.61131575263111,0.06895150526224254,0.08009873226745895,11.546104855071484
channel,laplacian_strain,103173016.40463698,249025611.75788984,0.4143068485057869,11568112.332009323,2267803379.878744
