y,grad_dy,strain,laplacian_strain
1.0,0.21924164759095688,0.21924195267954538,0.4049885350273724
0.999981101532787,0.1613298029875416,0.16133019268325155,0.436724983723536
0.9999244068454518,0.02759176693804687,0.027597649666525448,0.3927894440595168
0.99982991808088,0.007781994793137286,0.007836052200506538,0.010806992379339932
0.9996976388104571,0.016396604142961704,0.016459862520491947,18.066916414868516
0.9995275740339341,0.013778442193271841,0.013917019260040787,2.223261485751956
0.9993197301792383,0.009022814250557003,0.00932324031048516,0.15454488550239104
0.99907411510223,0.004374737895979319,0.004963559017706776,0.1804298284389416
0.9987907380864063,0.0021162988573006913,0.0030404045731688974,0.41771159967558663
0.9984696098425497,0.0017892561025335387,0.00299729540842232,0.5313167020394278
0.9981107425083233,0.0017771877990240853,0.0032767741757242165,0.25100097722820536
0.9977141496478124,0.0018119149414011768,0.0036216108952136367,0.08481505931319452
0.9972798462510111,0.0018715001338033474,0.004008545818636248,0.06736847722688391
0.9968078487332565,0.001954580512207954,0.0044321177856747225,0.06358995857587069
0.9962981749346078,0.0020661332863314333,0.004893096075879078,0.060822926554986535
0.9957508441191721,0.0022130049907413355,0.005395186021667601,0.0592874123356979
0.9951658769743766,0.00239313221467653,0.005934401424569321,0.05927688581139301
0.9945432956101858,0.0025990575537904966,0.006500752859456672,0.06028628763941697
0.9938831235582669,0.002818159466591178,0.007083194904269067,0.0610132191740612
0.9931853857710996,0.0030372893926050456,0.007672173615876131,0.0602881892950368
0.9924501086210332,0.0032458875787909815,0.008272757279566133,0.058009604636639525
0.99167731989929,0.003436387251344192,0.008896241142314704,0.055755319256715626
0.9908670488149147,0.0036089733438618814,0.009546495520572205,0.054694640151960856
0.9900193259936703,0.0037711533183293145,0.010206648493605853,0.054420706984739636
0.9891341834768805,0.0039207772410291605,0.010855386889709008,0.053807908343288684
0.9882116547202192,0.00404125097651217,0.011495180538111155,0.05226115328849075
0.9872517745924454,0.004129181547266412,0.012176585865568053,0.05095467581711235
0.9862545793740851,0.004185503938712624,0.012897120053390729,0.05045980189780335
0.9852201067560606,0.004234832402448332,0.01368935084675957,0.05058445245209567
0.9841483958382659,0.004299662923028503,0.014500255451320304,0.050672714258334445
0.9830394871280879,0.00439222493558962,0.015271246944203948,0.05115358387186142
0.9818934225388766,0.004486766329143616,0.01596891619406759,0.05264414055747289
0.98071024538836,0.0045597216147359836,0.016555588818940613,0.054258907683866625
0.9794900003970076,0.0045825523373722995,0.01700068852023693,0.05512384287559432
0.978232733686339,0.004550951738471736,0.01733815661257029,0.05520342381666157
0.9769384927771817,0.004477427074016327,0.017767284453741754,0.056155145191261004
0.9756073265878745,0.004380905587227406,0.0185600385460896,0.05722614026960435
0.9742392854324186,0.0042801856891422985,0.019526173556232842,0.05701064927911204
0.9728344210185758,0.004203102553777611,0.020528264993177666,0.057441474365547876
0.9713927864459141,0.004186391493632001,0.02142735200382082,0.058831040244710024
0.9699144362038011,0.004198512111019591,0.022101870005770973,0.05922116893356785
0.9683994261693439,0.004198568278111405,0.022723388018297055,0.05887235059178379
0.9668478136052775,0.004167040738516832,0.023443931884739384,0.060850965470459824
0.9652596571578002,0.004102535227114176,0.02410640351413254,0.06297743735070539
0.9636350168543569,0.0040174548767272795,0.024697657330997106,0.06282159538390773
0.961973954101371,0.00390857376511851,0.02545947305937297,0.06189530409592363
0.9602765316819221,0.003813864462908559,0.026571869522526007,0.06327820129557919
0.9585428137533742,0.0037633995642527202,0.027704071365842377,0.06534212992438541
0.9567728658449502,0.0037759598590743704,0.02844844605783028,0.06590568190113362
0.9549667548552553,0.0038704898055793536,0.028768143869263647,0.06593033159230653
0.9531245490497477,0.003979498075782438,0.029003198794913053,0.06761937621516326
0.9512463180581598,0.003933562306149835,0.0293984003566442,0.06805517616452998
0.9493321328718651,0.003729424569624158,0.029619913810729516,0.06514205012615386
0.9473820658411956,0.003527147314529708,0.02969925777580079,0.06396944884369286
0.945396190672707,0.003410762079875385,0.029730515535658524,0.06577075203889182
0.9433745824263926,0.003379712491339625,0.02999432841100638,0.06651790200923213
0.9413173175128471,0.003394769785348911,0.03057761378996039,0.06651297419509176
0.9392244736903772,0.0034389425246251736,0.031194000053930193,0.067748778705287
0.9370961300620638,0.0034419842495497606,0.03157423103984877,0.07077496710421453
0.9349323670727715,0.0033387070259675877,0.03186397568933844,0.12303904609408294
0.932733266506108,0.0029202063565732933,0.032118645743329496,0.3786625205337161
0.9304989114813332,0.03309391890019369,0.05031186651626398,0.606556761732387
0.9282293864502176,0.22686965026487052,0.1610654196927049,0.6812721169897206
0.9259247771938498,0.7398517804360454,0.3814803302914453,0.7157396274823034
