model,ratio,seed,fit_seed,train_loss,sample_size_iso,sample_size_chan,nmse_iso,nmse_chan,mean_r_iso,mean_r_chan,tau12_r_chan,pi_r_iso,pi_r_chan,wall_tau12_corr_chan,c1,c2,c3,c4,extreme_total_q010_iso,extreme_captured_q010_iso,coverage_q010_iso,extreme_total_q010_chan,extreme_captured_q010_chan,coverage_q010_chan,extreme_total_q050_iso,extreme_captured_q050_iso,coverage_q050_iso,extreme_total_q050_chan,extreme_captured_q050_chan,coverage_q050_chan
Jaumann_hybrid,0.01,0,70100,1.9259435806258802,2621,2621,1.0194534579865444,1.0762515448124086,0.18618256191511087,0.11751973141074984,0.013800215538424964,0.13290137766385124,0.03516094323543867,-0.9278429740128332,0.08243470970560965,-0.30975816629008096,-0.0005720953629203269,nan,2622,28,0.010678871090770405,2622,20,0.007627765064836003,13108,113,0.008620689655172414,13108,136,0.010375343301800427
Jaumann_hybrid,0.01,1,70101,2.267982552890117,2621,2621,1.0253683773162237,1.0379280830707385,0.18295773034657162,0.09698552358815839,0.0008292980058679321,0.001771846114687105,-0.011777889683758449,-0.936109588563452,0.052108105058506896,-0.2971372779227485,-0.0006131201259568893,nan,2622,32,0.012204424103737605,2622,30,0.011441647597254004,13108,154,0.011748550503509307,13108,142,0.010833079035703387
Jaumann_hybrid,0.01,2,70102,2.0366556816875034,2621,2621,1.0217933180011107,1.0548395532533323,0.1856111178008222,0.10990445972140528,0.008656263977958602,0.07451989222942099,0.01594529726841243,-0.9319567246708718,0.06837739214413054,-0.3110112098436436,-0.0007166792015744616,nan,2622,21,0.008009153318077803,2622,26,0.009916094584286803,13108,119,0.009078425389075374,13108,125,0.009536161122978334
Jaumann_hybrid,0.01,3,70103,2.134752714096942,2621,2621,1.021956393877919,1.056085005005495,0.1847835576053364,0.1065139130708742,0.007689495554262319,0.06641081744797846,0.013047461457826847,-0.9328617097902683,0.06930101826964585,-0.3225606072559905,-0.0005376602149314122,nan,2622,20,0.007627765064836003,2622,29,0.011060259344012205,13108,103,0.007857796765334147,13108,118,0.009002136100091547
Jaumann_hybrid,0.02,0,70200,2.026148139502465,5242,5242,1.0187867531337078,1.087427370265396,0.18649659935459062,0.1202179391647173,0.015057980378510642,0.1473516086101976,0.0396477154018259,-0.9263872490651355,0.08829063819162289,-0.31608958598745585,-0.0006465835261810358,nan,2622,53,0.02021357742181541,2622,55,0.020976353928299007,13108,244,0.018614586512053707,13108,267,0.02036924015868172
Jaumann_hybrid,0.02,1,70201,2.1783217313176553,5242,5242,1.019640517325109,1.0801234938695703,0.1862298703998647,0.11592804146214962,0.012471909718800073,0.11671443825088726,0.03003516758833833,-0.9290287206551854,0.08419650236871837,-0.33428105430542776,-0.0007182004138070433,nan,2622,43,0.016399694889397406,2622,55,0.020976353928299007,13108,272,0.020750686603600854,13108,267,0.02036924015868172
Jaumann_hybrid,0.02,2,70202,2.099900447312863,5242,5242,1.0218567118895923,1.0591141813765126,0.18475642425186786,0.10587978388772938,0.007017697749434504,0.059165453428217246,0.010468160183895885,-0.9332009845528815,0.07164033629535527,-0.3413143892704969,-0.0006253497404163815,nan,2622,50,0.01906941266209001,2622,47,0.01792524790236461,13108,276,0.02105584375953616,13108,263,0.020064083002746414
Jaumann_hybrid,0.02,3,70203,2.164218651632589,5242,5242,1.0208733881959486,1.0666740441857046,0.185643391591933,0.11081447149553099,0.009495685868447989,0.08387942790075141,0.01916179565765438,-0.9314503040343229,0.07640465521185705,-0.337168263081048,-0.0007178528701551496,nan,2622,52,0.019832189168573607,2622,58,0.02212051868802441,13108,244,0.018614586512053707,13108,263,0.020064083002746414
Jaumann_hybrid,0.05,0,70500,2.1164314622931104,13107,13107,1.020264640007491,1.070331530542766,0.18589328482061443,0.11358270666093447,0.011359589001341002,0.10461685347039466,0.026097267665889014,-0.9300686346176552,0.07895794251560624,-0.32586466176226886,-0.0006451880723233575,nan,2622,133,0.050724637681159424,2622,152,0.057971014492753624,13108,631,0.04813854134879463,13108,663,0.050579798596277085
Jaumann_hybrid,0.05,1,70501,2.1352822905090476,13107,13107,1.0210235927352653,1.0632424981891908,0.18548210741087204,0.11044500809465368,0.009613842774007309,0.08573648786403201,0.019781794096505136,-0.9314532262553463,0.07453089230821697,-0.32669931509576405,-0.0006270614810702935,nan,2622,98,0.03737604881769641,2622,117,0.04462242562929062,13108,642,0.04897772352761672,13108,652,0.04974061641745499
Jaumann_hybrid,0.05,2,70502,2.0724138771819067,13107,13107,1.0209265917011632,1.068322755980717,0.18525866063660046,0.10916508859468209,0.009006499077236232,0.07956622288812684,0.01766114026622927,-0.9319234394268558,0.0776624309928545,-0.3470221275541248,-0.0006336007965590578,nan,2622,134,0.05110602593440122,2622,128,0.04881769641495042,13108,665,0.05073237717424474,13108,674,0.051418980775099175
Jaumann_hybrid,0.05,3,70503,2.1295621100830067,13107,13107,1.0202718181409256,1.065520058532429,0.1862211206654841,0.11566006606476502,0.012277161109299264,0.11441835111373484,0.029296911622216076,-0.9291953165633599,0.07605566590183908,-0.3042754038339765,-0.0006620490729618852,nan,2622,146,0.05568268497330282,2622,118,0.04500381388253242,13108,640,0.04882514494964907,13108,663,0.050579798596277085
Jaumann_hybrid,0.1,0,71000,2.1351040660788567,26214,26214,1.0205120818841542,1.0683572762291904,0.1857772529251568,0.11247026981020576,0.010684493997916135,0.0971068016493082,0.023614803366405406,-0.9306104287561351,0.07772910680571149,-0.3286731080118436,-0.0006563720533301965,nan,2622,251,0.09572845156369184,2622,302,0.11517925247902365,13108,1277,0.09742142203234666,13108,1322,0.10085444003661886
Jaumann_hybrid,0.1,1,71001,2.113270099438966,26214,26214,1.0203148309492525,1.0715831514311747,0.18573524669104713,0.11266246007052226,0.010970462878183006,0.1005689368825352,0.02475784144939827,-0.9304275241089083,0.0796909011354871,-0.33308683552862334,-0.0006272563053205356,nan,2622,248,0.09458428680396644,2622,268,0.10221205186880244,13108,1358,0.10360085444003662,13108,1343,0.10245651510527921
