model,ratio,n_runs,train_loss_mean,train_loss_std,mean_r_iso_mean,mean_r_iso_std,mean_r_chan_mean,mean_r_chan_std,tau12_r_chan_mean,tau12_r_chan_std,pi_r_iso_mean,pi_r_iso_std,pi_r_chan_mean,pi_r_chan_std,wall_tau12_corr_chan_mean,wall_tau12_corr_chan_std,nmse_iso_mean,nmse_iso_std,nmse_chan_mean,nmse_chan_std,sample_size_iso_mean,sample_size_iso_std,sample_size_chan_mean,sample_size_chan_std,coverage_q010_iso_mean,coverage_q010_iso_std,coverage_q010_chan_mean,coverage_q010_chan_std,coverage_q050_iso_mean,coverage_q050_iso_std,coverage_q050_chan_mean,coverage_q050_chan_std,c1_mean,c1_std,c2_mean,c2_std,c3_mean,c3_std,c4_mean,c4_std
Jaumann_hybrid,0.01,4,2.0913336323251106,0.12593014460971375,0.18488374191696028,0.0012181509070704638,0.10773090694779693,0.007373766908240154,0.007743818269128455,0.004618604943148297,0.06890098336398445,0.0464761890689758,0.013093953069479873,0.016686019163787064,-0.9321927492593564,0.0029481091663836655,1.0221428867954494,0.00210913455995801,1.0562760465354937,0.013580945332808217,2621.0,0.0,2621.0,0.0,0.009630053394355454,0.0018949854037330085,0.010011441647597255,0.0014863136220556728,0.009326365578272811,0.001464848713710896,0.009936679890143425,0.0007123454911879424,0.06805530629447323,0.010755649763499249,-0.3101168153281159,0.00900340101688603,-0.0006098887263457725,6.719364501788499e-05,nan,nan
Jaumann_hybrid,0.02,4,2.1171472424413933,0.06028334000868737,0.18578157139956405,0.0006675060493745759,0.11321005900253182,0.005384458788511926,0.011010818428798303,0.003031292918884404,0.10177773204751339,0.03330254869231184,0.024828209707928626,0.011011918882529429,-0.9300168145768812,0.0025663157377261874,1.0202893426360893,0.0011700966936169714,1.0733347724242959,0.011082402302627936,5242.0,0.0,5242.0,0.0,0.01887871853546911,0.0014893687406381877,0.020499618611746758,0.001557983851865769,0.019758925846811107,0.0011494140351937263,0.020216661580714067,0.00015257857796765334,0.0801330330168884,0.0065016344872098585,-0.33221332316110713,0.009638869830896731,-0.0006769966376399026,4.171133613059574e-05,nan,nan
Jaumann_hybrid,0.05,4,2.113422435016768,0.02464294246955935,0.18571379338339275,0.00037095227262266063,0.11221321735375882,0.0025580226697064917,0.010564272990470951,0.001313058493165021,0.09608447883407208,0.014043379101139918,0.023209278412709873,0.004688529770893635,-0.9306601542158043,0.0010863353035985622,1.0206216606462113,0.000355100643290807,1.0668542108112757,0.0026959603018859913,13107.0,0.0,13107.0,0.0,0.048722349351639965,0.006835127657522038,0.04910373760488177,0.005375917375671414,0.04916844675007629,0.0009566628169045209,0.050579798596277085,0.0005933914092960042,0.07680173292962919,0.001666086287719707,-0.32596537706153356,0.01511944516615094,-0.0006419748557286484,1.3283754825800976e-05,nan,nan
Jaumann_hybrid,0.1,4,2.100682150222918,0.0248556323242113,0.18582507855206273,9.87424905511369e-05,0.1131654124985653,0.0008314286637807179,0.011167468877462679,0.0004720081924556612,0.10260481257874762,0.0052482910848524154,0.02542527398047709,0.001723592593398372,-0.9302338951052458,0.0003973973542602908,1.0203383893614908,0.00017970948729773036,1.069826768874732,0.0019928674317895847,26214.0,0.0,26214.0,0.0,0.09563310450038139,0.00250637670253526,0.1036422578184592,0.007116622027817352,0.10043484894720782,0.0022453559128412337,0.1007018614586512,0.0011632553159884702,0.07864632959511973,0.0011981218123862905,-0.3266283735797819,0.004548195113688917,-0.0006353914963915799,1.3209765728363224e-05,nan,nan
Jaumann_hybrid,0.2,4,2.107321910647552,0.015650790584701854,0.18548649259717603,0.000513838034992402,0.11090967649346369,0.003680490419230834,0.009889686926609052,0.002061977168209041,0.089298535488214,0.021927648563222647,0.020827225751734353,0.007439454394418758,-0.9311319916179869,0.0015682668128071406,1.02086240492751,0.0007237484357032965,1.0652947051025694,0.004618786469641488,52428.0,0.0,52428.0,0.0,0.2009916094584287,0.00933038125303208,0.1989893211289092,0.0057359005502269425,0.19852380225816293,0.002911700922436954,0.20289136405248703,0.00177812969496593,0.07575231027992632,0.0030495725025905277,-0.3279618926192581,0.010055341376476063,-0.0006243229895059151,5.477275917426956e-06,nan,nan
Jaumann_hybrid,0.5,4,2.1259699816541366,0.008107713268891873,0.18575351856907119,0.00012317558147835383,0.11256120997278189,0.0010097203143864537,0.010819666401125373,0.0005646335427392465,0.09878471440001219,0.006215969698419074,0.02415780123385103,0.0020519319220705834,-0.9305143459944183,0.0004691169655370435,1.0205625245929675,0.00020564251935262535,1.0667320135920078,0.0016311053883489338,131072.0,0.0,131072.0,0.0,0.49723493516399697,0.012353609427374162,0.5047673531655225,0.005899202249526297,0.4958231614281355,0.0046352806342491665,0.5012587732682331,0.0016865800251322928,0.07677898057268405,0.0010268708052809288,-0.32280918030292094,0.0035024877102014774,-0.0006269953632051645,6.469117688255592e-06,nan,nan
Champion,0.01,4,2.4735516440757674,0.13739318388988375,0.2998491732571362,0.0010596558425594342,0.2975391383234631,0.001528378538485129,0.2668684182698885,0.007387613742211697,0.9685235879727199,0.002265774035397152,0.6063503562762773,0.0009723319329727624,-0.5872043127998655,0.0012961174997634314,0.9696823609030635,0.0023129543901749417,1.0494429952461584,0.0030092198636518367,2621.0,0.0,2621.0,0.0,0.010297482837528604,0.0010444747473401337,0.010297482837528602,0.0006030277765385928,0.0091547146780592,0.0005683424025690929,0.010032041501373207,0.0004988059517326068,0.042629455162130514,0.005374318392144338,0.48386837190742793,0.023969759795646556,2.7393545508826186e-06,1.0476956813115622e-07,nan,nan
Champion,0.02,4,2.4610189875686994,0.11293060950388802,0.3001500141684042,0.000329397540058418,0.29624879380312735,0.0019284859331260798,0.2609566184292662,0.008543247770903265,0.9666086000492956,0.002798345305569755,0.6067906810412629,0.00047172114907249294,-0.5862029237050423,0.0014024011957431961,0.9736805541042745,0.005639143807891424,1.0453029180393187,0.005152070518036602,5242.0,0.0,5242.0,0.0,0.02078565980167811,0.0034165661455318307,0.020594965675057208,0.0007135120874854961,0.01987335978028685,0.002269205632855637,0.019663564235581323,0.0009286869716157958,0.0422164442068549,0.001259818396926154,0.44020897100885414,0.06084544955813311,2.7278538698020708e-06,5.642647248425964e-08,nan,nan
Champion,0.05,4,2.452416394759801,0.03575817576571967,0.30038923299118664,0.00013118100780491813,0.2969103760721504,0.0007808512933865342,0.26380198369365077,0.003519271728482458,0.967591319521585,0.0011163112753154562,0.6068090640485633,0.0002584031503960257,-0.5866533993580526,0.0005808774200862175,0.9738302349210444,0.0018648376808625177,1.044404883715654,0.001704789271865012,13107.0,0.0,13107.0,0.0,0.04862700228832952,0.0039863739436244985,0.05177345537757437,0.0015105815711055357,0.04928288068355203,0.0015447403670519214,0.051361763808361306,0.0008062428054565231,0.04107236247236436,0.000710571309773227,0.4403010785931102,0.021519616587246226,2.8326812113332657e-06,8.016442989594448e-08,nan,nan
Champion,0.1,4,2.481417319471596,0.10015587920427062,0.3002996554697321,4.333878685609408e-05,0.2975601301663627,0.00012281016959873978,0.2667133421961567,0.000563938336921798,0.9685170328523733,0.0001749832351435552,0.6066048394665854,5.526186783180195e-05,-0.587132887214248,9.488107008240406e-05,0.9734280260497536,0.0011684109759499935,1.0446915579737885,0.0011039594443589883,26214.0,0.0,26214.0,0.0,0.10440503432494279,0.004953461177673736,0.10316552250190694,0.005274338934378085,0.09917607567897466,0.0029185015659732353,0.10300961245041196,0.001091463528213651,0.039950810155874775,0.0008161522904388196,0.4484539431427627,0.010627336692359131,2.7538747713265016e-06,4.399094252307913e-08,nan,nan
