case,model,train_loss,constants,nmse_transfer,mean_r_transfer,r11_transfer,r12_transfer,r13_transfer,pi_r_transfer,wall_tau12_corr_transfer
channel5200,Leonard,2.4095261595237494,{'c1': 0.08669389056633046},1.1980854471491482,0.06693437869089348,0.09516190311532373,0.09839067587925687,-0.018739713709814653,-0.048709222803938176,-0.17929528867344394
channel5200,WALE_like,2.5585611917074353,{'c1': 0.2214590549072837},2.076238248902449,0.05289751997474088,-0.11977572049047479,0.048611151473792455,0.07004140070482509,0.23946834130975492,-0.4594304261578332
channel5200,Smagorinsky_like,2.4787767155478826,{'c1': 0.001084133267095626},1.4675578598731045,-0.08415571589919113,-0.17397715343877523,-0.13793181726847184,-0.23027531053757072,0.1123398109767389,-0.3871005288849613
channel5200,WALE_canonical,2.747096948640265,{'c1': -0.3614007508373622},1.1177400765789391,0.001578245497159211,0.05625818500363637,-0.2170636544781109,0.2309205023096231,-0.2749518499661902,-0.9189439245498349
channel5200,Jaumann_hybrid,2.1561741513261863,"{'c1': 0.07313849992970171, 'c2': -0.32505765727328256, 'c3': -0.0006541794821462248}",1.2171591177954262,0.10264162006441536,0.12414296583394942,0.07973474823694258,-0.005671062059714623,0.041701617312453636,-0.46641663911376746
channel5200,Champion,2.426202615692079,"{'c1': 0.03996390236250201, 'c2': 0.43742953423046244, 'c3': 2.7691226046090304e-06}",4.885604189132269,0.04053736535922566,0.0787781238688984,0.060529886439388045,0.01646703911271235,0.2394666534219835,-0.4607266200404399
channel5200,Wstretch_hybrid,2.0126143068897235,"{'c1': 0.06945400351763242, 'c2': -0.5273196981860918, 'c3': -0.5943263598666607, 'c4': 0.5685891070765505}",8.174680213054081,0.012885342617358827,0.111202284947819,-0.036050199132774234,-0.05912663407788672,-0.23998778814732613,0.3895166268119683
channel5200_shifted,Leonard,2.4095261595237494,{'c1': 0.08669389056633046},1.1966836936399299,0.07784769224244864,0.10409897989351823,0.09065395479368393,0.0002127151104127289,-0.04297143184134481,0.2976582904310586
channel5200_shifted,WALE_like,2.5585611917074353,{'c1': 0.2214590549072837},1.4770695989359084,0.05531822786330224,-0.11932955269737958,0.037858100447902734,0.04462823179142363,0.21867470917571336,-0.46089824036800076
channel5200_shifted,Smagorinsky_like,2.4787767155478826,{'c1': 0.001084133267095626},1.479083576863005,-0.07255117802397738,-0.14262960028596453,-0.1813028587779438,-0.17813780639539156,0.07089131731777179,-0.4773914980966867
channel5200_shifted,WALE_canonical,2.747096948640265,{'c1': -0.3614007508373622},1.1139946893986454,-0.047374943925684775,0.024242604653901302,-0.25665878935041836,0.17213838038895965,-0.314174012620353,-0.867416145171075
channel5200_shifted,Jaumann_hybrid,2.1561741513261863,"{'c1': 0.07313849992970171, 'c2': -0.32505765727328256, 'c3': -0.0006541794821462248}",1.2209172073388213,0.09966180463920778,0.13243847119778987,0.07447554152338014,0.010127913076462384,-0.08613854459744312,-0.8143847083091806
channel5200_shifted,Champion,2.426202615692079,"{'c1': 0.03996390236250201, 'c2': 0.43742953423046244, 'c3': 2.7691226046090304e-06}",2.5568322995951873,0.04186471147841775,0.08951256756893727,0.051802827598843804,0.023428262451940816,0.21847532444096962,-0.4583826766986028
channel5200_shifted,Wstretch_hybrid,2.0126143068897235,"{'c1': 0.06945400351763242, 'c2': -0.5273196981860918, 'c3': -0.5943263598666607, 'c4': 0.5685891070765505}",3.866681739939002,0.013410835732919587,0.11783342741050043,-0.024774163552820513,-0.033138420024019025,-0.21936224415520333,0.41514230848414785
