model,viscosity,velocity_rmse,rhs_rmse,closure_div_rmse,energy_pred,energy_true,energy_rel_err,spectrum_corr,div_rms,runtime_s,status
No_model,0.0007381380695497867,0.010807004632356123,1.1566700198923927,0.26683784886657225,0.5450719870300142,0.5452442525392678,-0.0003159419075969566,0.9999999943264197,0.001036106582318484,8.73863333297777,ok
Bardina_Leonard,0.0007381380695497867,0.010806977942111405,1.1502738727261639,0.2162973311414852,0.545066433480284,0.5452442525392678,-0.0003261273422977054,0.9999999942471445,0.001036106242575889,8.640835083991988,ok
Dynamic_Smagorinsky,0.0007381380695497867,0.01080698987180605,1.153152875513632,0.2510748679962421,0.5450601246031808,0.5452442525392678,-0.0003376980779339053,0.9999999938762709,0.0010359672951023803,11.97521858298569,ok
WALE_canonical,0.0007381380695497867,0.01080700339288512,1.1563743820885388,0.26533154919973834,0.5450712925397186,0.5452442525392678,-0.00031721563087303126,0.9999999943005146,0.0010361069590642447,9.20757433300605,ok
AMD_canonical,0.0007381380695497867,0.010806997520865787,1.1550133739172335,0.25837971829871054,0.5450690201603668,0.5452442525392678,-0.00032138326646242966,0.9999999942208094,0.0010360566187846217,9.432658000005176,ok
Champion,0.0007381380695497867,0.010806994743707854,1.1543472999487383,0.2613544484334477,0.5450701483499176,0.5452442525392678,-0.00031931412122059217,0.9999999942339536,0.0010360706067178264,10.259687499987194,ok
Jaumann_hybrid,0.0007381380695497867,0.01080700046700322,1.1556933038191826,0.2605392579616994,0.5450704521349587,0.5452442525392678,-0.00031875696717502866,0.9999999942786155,0.001036114574940217,11.327523624990135,ok
Wstretch_hybrid,0.0007381380695497867,0.010807015309209987,1.1592109013167815,0.2778059650086562,0.5450721345472421,0.5452442525392678,-0.0003156713550378227,0.9999999943596792,0.0010360060519090174,11.927981916989665,ok
