model,known_match,expr,balanced_score,channel_score,n_frames,viscosity,teacher_rhs_rmse_mean,teacher_rhs_rmse_final,teacher_energy_rel_mean,rollout_rmse_mean,rollout_rmse_final,rollout_energy_rel_mean,rollout_energy_rel_final,final_spectrum_corr,final_div_rms,runtime_s
search_07,,c1*L + (Delta**4*c4)*Lap_S*S + (Delta**4*c4)*S*Lap_S + (Delta**2*c3/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c3/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,0.25861445291219715,0.41650988950614615,13,0.0007381380695497867,1.1611135845112088,1.162424522612306,1.1703083107068597e-05,0.010876396281669172,0.010993676782329148,0.00024910769195852356,-0.0001902111868085524,0.9999999638715881,0.00018288708472817647,127.87529525000718
search_08,,c1*L + (Delta**2*c5)*S_j + (Delta**2*c3/Trace(S**2))*W*W.T + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,0.03042863199614889,0.006967529091480807,13,0.0007381380695497867,1.1633561860354162,1.1649056579941204,8.431522226994077e-06,0.010876795849039273,0.010994757595950169,0.00026774554099058957,-0.00022435850649681985,0.9999999654011359,0.00018374863612363957,122.90361354200286
search_02,,c1*L + (Delta**2*c3/Trace(S**2))*W*W.T + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,0.03277887468050894,0.008856699286219322,13,0.0007381380695497867,1.1647272017915815,1.1662922954668724,9.241960423637152e-06,0.010877108552979138,0.010995584301805684,0.00026283199758529377,-0.00021533573662421284,0.9999999647580657,0.00018414007318001124,123.83335512501071
search_05,,c1*L + (Delta**2*c3)*S_j + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c5/Trace(S**2))*W*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,0.03605280440826003,0.011638978200857937,13,0.0007381380695497867,1.167314399582999,1.1689009341203833,9.65179700042192e-06,0.010877560205094762,0.010996772127288668,0.000260328659644009,-0.00021073321860468568,0.9999999643153761,0.00018494973819025115,122.99923016599496
