case,model,train_loss,constants,nmse_iso_transfer,nmse_chan_transfer,mean_r_iso_transfer,mean_r_chan_transfer,tau12_r_chan_transfer,pi_r_iso_transfer,pi_r_chan_transfer,wall_tau12_corr_chan_transfer
future_same_window,Leonard,2.432194194466774,{'c1': 0.08466134676095798},1.0124845733876033,1.0689139982487776,0.18492024451710357,0.14521125621413314,0.09728253153162775,0.4366913999104641,0.22056371447766784,-0.027645558039971662
future_same_window,WALE_like,2.5329876947810854,{'c1': 0.15635972843033988},1.0200162204836776,1.0483647332610082,0.25219417913163183,0.25648362504603467,0.26145853592478974,0.9751720990696479,0.5719227154906625,-0.383862958145079
future_same_window,Smagorinsky_like,2.4472517079476037,{'c1': 0.0011467340570420561},1.0386390089955555,1.1121740276481262,-0.06019842538931991,-0.04155450478801809,-0.03631938211159856,0.16297155302444138,0.11247452874810114,-0.5379702038157711
future_same_window,WALE_canonical,2.8072553335095902,{'c1': -0.34467727319455105},1.044144512276247,1.052754149470096,0.00416882884615311,-0.051837059326981495,-0.36640918102932324,-0.34942674772133253,-0.3470000255358193,-0.9834622888173841
future_same_window,Jaumann_hybrid,2.1270286867229338,"{'c1': 0.0802003057353517, 'c2': -0.31440495334017515, 'c3': -0.000630764123185868}",1.0175496469387204,1.0486944853252944,0.1912113572445381,0.11947903909723868,0.07262834592544429,0.1614857111436448,0.12875635338708763,-0.9730452614980305
future_same_window,Champion,2.5062402138352744,"{'c1': 0.039120549989895545, 'c2': 0.42602695331784807, 'c3': 2.7947612050525267e-06}",0.9784703541440533,1.028098947420278,0.2928446744927164,0.2936799624261766,0.27610663362064775,0.9648164827318616,0.603528431293777,-0.3855689905739087
future_same_window,Wstretch_hybrid,2.117640858470597,"{'c1': 0.07503628819909888, 'c2': -0.45506012362934495, 'c3': -0.36779990051160644, 'c4': 0.4367021421893192}",1.05127188773137,1.0769440624517725,0.03472461812280153,-0.0017231479708766882,-0.10515158040495198,-0.8057796804917415,-0.4660421001245684,-0.728434468456856
future_shifted_window,Leonard,2.432194194466774,{'c1': 0.08466134676095798},1.0117648420520682,1.0676109662723317,0.17289120008495948,0.16058230824159336,0.10661111603776624,0.3761015578884169,0.12927203019537511,-0.47467285992867236
future_shifted_window,WALE_like,2.5329876947810854,{'c1': 0.15635972843033988},0.9944109194200672,1.052030695656905,0.45223285237051436,0.23410817422107408,0.20047959397270468,0.9887062094805321,0.4603680176490945,0.2422051869742592
future_shifted_window,Smagorinsky_like,2.4472517079476037,{'c1': 0.0011467340570420561},1.0296010948216974,1.124825369049118,0.1757436018587404,-0.07027612705356677,-0.0944690426534558,0.7174266069049854,0.07802363975860717,-0.5269651992975644
future_shifted_window,WALE_canonical,2.8072553335095902,{'c1': -0.34467727319455105},1.0538489481281428,1.0570069236835817,-0.23822872789849572,-0.0373229764759741,-0.28327706021225885,-0.7767105051523666,-0.15952681519643092,-0.9712774220534052
future_shifted_window,Jaumann_hybrid,2.1270286867229338,"{'c1': 0.0802003057353517, 'c2': -0.31440495334017515, 'c3': -0.000630764123185868}",1.0329702043053315,1.0483734865982806,0.0859302975364366,0.14294796261265133,0.09082483192260449,-0.3571070836895855,0.09732629296477364,-0.9526965041713152
future_shifted_window,Champion,2.5062402138352744,"{'c1': 0.039120549989895545, 'c2': 0.42602695331784807, 'c3': 2.7947612050525267e-06}",0.9300393387983917,1.0220644081717114,0.4488231776686225,0.2906045283583158,0.23042457417733753,0.9790473089392653,0.48519884701019056,0.21954190474633456
future_shifted_window,Wstretch_hybrid,2.117640858470597,"{'c1': 0.07503628819909888, 'c2': -0.45506012362934495, 'c3': -0.36779990051160644, 'c4': 0.4367021421893192}",1.1216550265925989,1.0714726714692433,-0.18199923776934293,0.016678596183501353,-0.04349486247501369,-0.9218775548460618,-0.35420825888408786,-0.8196485506934063
